/Dret<0> X,/Dret<0> Y
3.787500000000009e-08,5.992924116052129e-06
3.8e-08,5.008321746136129e-06
3.81250000000001e-08,9.372261435481468e-06
3.82500000000001e-08,-3.687029790753607e-05
3.83750000000001e-08,2.054400445857701e-05
3.850000000000011e-08,0.0002132216517622942
3.862500000000011e-08,0.0009916136448274238
3.875000000000011e-08,-0.000161360630606309
3.887500000000011e-08,-0.0003825774317768649
3.900000000000012e-08,-5.769024497692273e-05
3.912500000000012e-08,-1.727291313378814e-06
3.925000000000012e-08,4.89349358124881e-06
3.937500000000013e-08,3.523721229136419e-06
3.950000000000013e-08,1.998199014303455e-06
3.962500000000013e-08,1.097435419613555e-06
3.975000000000013e-08,6.42418047225486e-07
3.987500000000013e-08,4.050305100289234e-07
4.000000000000001e-08,2.756930642649429e-07
4.012500000000014e-08,-1.309649440298784e-06
4.025000000000015e-08,9.340504973122584e-05
4.037500000000015e-08,-0.000222310018331932
4.050000000000015e-08,-0.004813466272932699
4.062500000000015e-08,-0.0008388276609335484
4.075000000000016e-08,0.5023477651260577
4.087500000000016e-08,1.788278945966342
4.100000000000016e-08,1.799068581017184
4.112500000000016e-08,1.799938126363609
4.125000000000017e-08,1.799981449007527
4.137500000000017e-08,1.799986392710909
4.150000000000017e-08,1.79998935893232
4.162500000000018e-08,1.799991161338068
4.175000000000018e-08,1.799992325468713
4.187500000000017e-08,1.79999316599535
4.2e-08,1.799993776023666
4.212500000000019e-08,1.799995514278849
4.225000000000019e-08,1.799962161547724
4.237500000000019e-08,1.800171904268507
4.25000000000002e-08,1.80100983760853
4.26250000000002e-08,1.804944728687194
4.27500000000002e-08,1.808913758880459
4.28750000000002e-08,1.807221581228824
4.300000000000021e-08,1.80056596060714
4.312500000000021e-08,1.79950956479873
4.325000000000021e-08,1.799541830638017
4.337500000000021e-08,1.799677130499926
4.350000000000022e-08,1.799765433325587
4.362500000000022e-08,1.799818893165172
4.375000000000022e-08,1.799852765562461
4.387500000000022e-08,1.799876077878585
4.4e-08,1.799892999070572
4.412500000000023e-08,1.799903107951997
4.425000000000023e-08,1.800061260444317
4.437500000000024e-08,1.799649817505677
4.450000000000024e-08,1.792348700975147
4.462500000000024e-08,1.785038982890178
4.475000000000025e-08,1.793015723501119
4.487500000000025e-08,1.799215485554934
4.500000000000025e-08,1.799940893329723
4.512500000000025e-08,1.79999379729885
