/D<0> X,/D<0> Y
4.800000000000001e-08,1.8
4.812500000000032e-08,1.8
4.825000000000032e-08,1.8
4.837500000000033e-08,1.8
4.850000000000033e-08,1.8
4.862500000000033e-08,1.8
4.875000000000033e-08,1.8
4.887500000000034e-08,1.8
4.900000000000034e-08,1.8
4.912500000000034e-08,1.8
4.925000000000035e-08,1.8
4.937500000000035e-08,1.8
4.950000000000035e-08,1.8
4.962500000000035e-08,1.8
4.975000000000036e-08,1.8
4.987500000000035e-08,1.8
5e-08,1.8
5.012500000000036e-08,1.8
5.025000000000037e-08,1.8
5.037500000000037e-08,1.8
5.050000000000037e-08,1.8
5.062500000000038e-08,1.8
5.075000000000038e-08,1.8
5.087500000000038e-08,1.8
5.100000000000038e-08,1.8
5.112500000000039e-08,1.8
5.125000000000039e-08,1.8
5.137500000000039e-08,1.8
5.150000000000039e-08,1.8
5.16250000000004e-08,1.8
5.17500000000004e-08,1.8
5.18750000000004e-08,1.8
5.200000000000001e-08,1.8
5.212500000000041e-08,1.8
5.225000000000041e-08,1.8
5.237500000000041e-08,1.8
5.250000000000042e-08,1.8
5.262500000000042e-08,1.8
5.275000000000042e-08,1.8
5.287500000000043e-08,1.8
5.300000000000043e-08,1.8
5.312500000000043e-08,1.8
5.325000000000043e-08,1.8
5.337500000000044e-08,1.8
5.350000000000044e-08,1.8
5.362500000000044e-08,1.8
5.375000000000044e-08,1.8
5.387500000000044e-08,1.8
5.4e-08,1.8
5.412500000000045e-08,0
5.425000000000046e-08,0
5.437500000000046e-08,0
5.450000000000046e-08,0
5.462500000000046e-08,0
5.475000000000047e-08,0
5.487500000000047e-08,0
5.500000000000047e-08,0
5.512500000000048e-08,0
5.525000000000048e-08,0
5.537500000000048e-08,0
5.550000000000048e-08,0
5.562500000000049e-08,0
5.575000000000049e-08,0
5.587500000000049e-08,0
5.600000000000001e-08,0
5.61250000000005e-08,0
5.62500000000005e-08,0
5.63750000000005e-08,0
5.650000000000051e-08,0
5.662500000000051e-08,0
5.675000000000051e-08,0
5.687500000000051e-08,0
5.700000000000052e-08,0
5.712500000000052e-08,0
5.725000000000052e-08,0
5.737500000000053e-08,0
5.750000000000053e-08,0
5.762500000000053e-08,0
5.775000000000053e-08,0
5.787500000000053e-08,0
5.8e-08,0
5.812500000000054e-08,0
5.825000000000054e-08,0
5.837500000000055e-08,0
5.850000000000055e-08,0
5.862500000000055e-08,0
5.875000000000056e-08,0
5.887500000000056e-08,0
5.900000000000056e-08,0
5.912500000000056e-08,0
5.925000000000057e-08,0
5.937500000000057e-08,0
5.950000000000057e-08,0
5.962500000000058e-08,0
5.975000000000057e-08,0
5.987500000000058e-08,0
6.000000000000001e-08,0
6.012500000000056e-08,0
6.025000000000056e-08,0
6.037500000000055e-08,0
6.050000000000055e-08,0
6.062500000000054e-08,0
6.075000000000054e-08,0
6.087500000000054e-08,0
6.100000000000053e-08,0
6.112500000000053e-08,0
6.125000000000053e-08,0
6.137500000000052e-08,0
6.150000000000052e-08,0
6.162500000000051e-08,0
6.175000000000051e-08,0
6.187500000000052e-08,0
6.200000000000001e-08,0
6.21250000000005e-08,1.8
6.225000000000049e-08,1.8
6.237500000000049e-08,1.8
6.250000000000049e-08,1.8
6.262500000000048e-08,1.8
6.275000000000048e-08,1.8
6.287500000000048e-08,1.8
6.300000000000047e-08,1.8
