Power_Bias X,Power_Bias Y
7.487500000000011e-08,0.00018
7.50000000000001e-08,0.00018
7.51250000000001e-08,0.00018
7.525000000000009e-08,0.00018
7.537500000000009e-08,0.00018
7.550000000000009e-08,0.00018
7.562500000000008e-08,0.00018
7.575000000000008e-08,0.00018
7.587500000000009e-08,0.00018
7.600000000000001e-08,0.00018
7.612500000000007e-08,0.00018
7.625000000000006e-08,0.00018
7.637500000000006e-08,0.00018
7.650000000000006e-08,0.00018
7.662500000000005e-08,0.00018
7.675000000000005e-08,0.00018
7.687500000000004e-08,0.00018
7.700000000000004e-08,0.00018
7.712500000000004e-08,0.00018
7.725000000000003e-08,0.00018
7.737500000000003e-08,0.00018
7.750000000000003e-08,0.00018
7.762500000000002e-08,0.00018
7.775000000000002e-08,0.00018
7.787500000000003e-08,0.00018
7.800000000000001e-08,0.00018
7.812500000000001e-08,0.00018
7.825e-08,0.00018
7.8375e-08,0.00018
7.849999999999999e-08,0.00018
7.862499999999999e-08,0.00018
7.874999999999999e-08,0.00018
7.887499999999998e-08,0.00018
7.899999999999998e-08,0.00018
7.912499999999998e-08,0.00018
7.924999999999997e-08,0.00018
7.937499999999997e-08,0.00018
7.949999999999996e-08,0.00018
7.962499999999996e-08,0.00018
7.974999999999996e-08,0.00018
7.987499999999997e-08,0.00018
7.999999999999995e-08,0.00018
8.012499999999994e-08,0.00018
8.024999999999994e-08,0.00018
8.037499999999994e-08,0.00018
8.049999999999993e-08,0.00018
8.062499999999993e-08,0.00018
8.074999999999993e-08,0.00018
8.087499999999992e-08,0.00018
8.099999999999992e-08,0.00018
8.112499999999991e-08,0.00018
8.124999999999991e-08,0.00018
8.137499999999991e-08,0.00018
8.14999999999999e-08,0.00018
8.16249999999999e-08,0.00018
8.174999999999989e-08,0.00018
8.18749999999999e-08,0.00018
8.199999999999989e-08,0.00018
8.212499999999988e-08,0.00018
8.224999999999988e-08,0.00018
8.237499999999988e-08,0.00018
8.249999999999987e-08,0.00018
8.262499999999987e-08,0.00018
8.274999999999986e-08,0.00018
8.287499999999986e-08,0.00018
8.299999999999986e-08,0.00018
8.312499999999985e-08,0.00018
8.324999999999985e-08,0.00018
8.337499999999984e-08,0.00018
8.349999999999984e-08,0.00018
8.362499999999984e-08,0.00018
8.374999999999983e-08,0.00018
8.387499999999984e-08,0.00018
8.399999999999983e-08,0.00018
8.412499999999982e-08,0.00018
8.424999999999982e-08,0.00018
8.437499999999981e-08,0.00018
8.449999999999981e-08,0.00018
8.462499999999981e-08,0.00018
8.47499999999998e-08,0.00018
8.48749999999998e-08,0.00018
8.499999999999979e-08,0.00018
8.512499999999979e-08,0.00018
8.524999999999979e-08,0.00018
8.537499999999978e-08,0.00018
8.549999999999978e-08,0.00018
8.562499999999978e-08,0.00018
8.574999999999977e-08,0.00018
8.587499999999978e-08,0.00018
8.599999999999976e-08,0.00018
8.612499999999976e-08,0.00018
8.624999999999976e-08,0.00018
8.637499999999975e-08,0.00018
8.649999999999975e-08,0.00018
8.662499999999975e-08,0.00018
8.674999999999974e-08,0.00018
8.687499999999974e-08,0.00018
8.699999999999973e-08,0.00018
8.712499999999973e-08,0.00018
8.724999999999973e-08,0.00018
8.737499999999972e-08,0.00018
8.749999999999972e-08,0.00018
8.762499999999971e-08,0.00018
8.774999999999971e-08,0.00018
8.787499999999972e-08,0.00018
8.79999999999997e-08,0.00018
8.81249999999997e-08,0.00018
8.82499999999997e-08,0.00018
8.837499999999969e-08,0.00018
